"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"5131.069007545","634.396","634.396","634.396"
"5141.046592354","628.723","628.723","628.723"
"5151.046131889","625.001","625.001","625.001"
"5161.063688061","633.92","633.92","633.92"
"5171.046107607","639.17","639.17","639.17"
"5181.045975369","639.624","639.624","639.624"
"5191.116694497","628.009","628.009","628.009"
"5201.061859094","357.031","357.031","357.031"
"5211.046271462","145.412","145.412","145.412"
"5221.04807246","142.453","142.453","142.453"
"5231.046853171","619.067","619.067","619.067"
"5241.103046867","622.584","622.584","622.584"
"5251.06013706","617.247","617.247","617.247"
"5261.046143909","628.71","628.71","628.71"
"5271.046453948","628.812","628.812","628.812"
"5281.046320717","638.927","638.927","638.927"
"5291.050628366","631.966","631.966","631.966"
"5301.046575191","631.744","631.744","631.744"
"5311.060640478","636.531","636.531","636.531"
"5321.091875544","631.344","631.344","631.344"
"5331.046592049","627.884","627.884","627.884"
"5341.047212555","520.052","520.052","520.052"
"5351.059892451","147.716","147.716","147.716"
"5361.046572778","142.323","142.323","142.323"
"5371.046646975","622.677","622.677","622.677"
"5381.048689576","625.842","625.842","625.842"
"5391.065095398","632.405","632.405","632.405"
"5401.078114211","617.536","617.536","617.536"
"5411.046906255","617.114","617.114","617.114"
"5421.04631766","630.481","630.481","630.481"
"5431.057573765","621.337","621.337","621.337"
"5441.046896072","622.274","622.274","622.274"
"5451.046261589","636.93","636.93","636.93"
"5461.046442763","620.922","620.922","620.922"
"5471.046582719","636.814","636.814","636.814"
"5481.055197261","557.089","557.089","557.089"
"5491.046343268","146.544","146.544","146.544"
"5501.046222837","142.045","142.045","142.045"
"5511.047083441","626.101","626.101","626.101"
"5521.046184732","616.004","616.004","616.004"
"5531.072085311","621.831","621.831","621.831"
"5541.046307075","624.91","624.91","624.91"
"5551.046210134","616.988","616.988","616.988"
"5561.113998575","620.528","620.528","620.528"
"5571.046824611","624.569","624.569","624.569"
"5581.04645029","622.227","622.227","622.227"
"5591.082855139","638.17","638.17","638.17"
"5601.045956884","646.633","646.633","646.633"
"5611.055409802","640.363","640.363","640.363"
"5621.105252584","676.386","676.386","676.386"
"5631.046884919","146.145","146.145","146.145"
"5641.046739341","140.905","140.905","140.905"
"5651.048273266","608.93","608.93","608.93"
"5661.064241157","620.637","620.637","620.637"
"5671.046534175","623.654","623.654","623.654"
"5681.058127074","628.019","628.019","628.019"
"5691.106392917","629.618","629.618","629.618"
"5701.057791978","638.537","638.537","638.537"
"5711.117464949","644.549","644.549","644.549"
"5721.056214203","636.589","636.589","636.589"
"5731.060434194","634.441","634.441","634.441"
"5741.04692761","646.309","646.309","646.309"
"5751.046799424","626.619","626.619","626.619"
"5761.121680777","676.554","676.554","676.554"
"5771.049316286","144.67","144.67","144.67"
"5781.046841111","139.261","139.261","139.261"
"5791.047008257","609.847","609.847","609.847"
"5801.061285046","618.398","618.398","618.398"
"5811.107324543","625.929","625.929","625.929"
"5821.046391724","634.083","634.083","634.083"
"5831.046852252","627.097","627.097","627.097"
"5841.114252664","628.332","628.332","628.332"
"5851.046617222","633.146","633.146","633.146"
"5861.046695696","629.123","629.123","629.123"
"5871.055033203","629.253","629.253","629.253"
"5881.069777617","626.841","626.841","626.841"
"5891.046459168","632.444","632.444","632.444"
"5901.123795033","678.042","678.042","678.042"
"5911.051914871","144.352","144.352","144.352"
"5921.074453158","140.768","140.768","140.768"
"5931.046698627","605.836","605.836","605.836"
"5941.099335977","608.62","608.62","608.62"
"5951.06996221","624.227","624.227","624.227"
"5961.046186003","628.603","628.603","628.603"
"5971.05582139","634.16","634.16","634.16"
"5981.070229408","625.058","625.058","625.058"
"5991.045945868","630.64","630.64","630.64"
"6001.050653548","632.525","632.525","632.525"
"6011.045930333","630.292","630.292","630.292"
"6021.12379916","631.087","631.087","631.087"
"6031.046424629","642.328","642.328","642.328"
"6041.046873827","669.031","669.031","669.031"
"6051.046962668","144.366","144.366","144.366"
"6061.050304701","140.704","140.704","140.704"
"6071.049135672","621.041","621.041","621.041"
"6081.052685995","631.838","631.838","631.838"
"6091.100911114","625.417","625.417","625.417"
"6101.046179216","626.613","626.613","626.613"
"6111.046143033","644.952","644.952","644.952"
"6121.092953703","628.637","628.637","628.637"
"6131.046607056","635.309","635.309","635.309"
"6141.046988702","629.682","629.682","629.682"
"6151.113088974","631.54","631.54","631.54"
"6161.058912987","631.652","631.652","631.652"
"6171.108471466","625.271","625.271","625.271"
"6181.047062498","629.074","629.074","629.074"
"6191.046554213","143.987","143.987","143.987"
"6201.046808049","140.838","140.838","140.838"
"6211.047536098","626.026","626.026","626.026"
"6221.089538328","617.416","617.416","617.416"
"6231.04798713","625.282","625.282","625.282"
"6241.098907","626.575","626.575","626.575"
"6251.096067199","628.511","628.511","628.511"
"6261.04685095","632.433","632.433","632.433"
"6271.046906096","631.125","631.125","631.125"
"6281.10373746","636.935","636.935","636.935"
"6291.04691373","636.947","636.947","636.947"
"6301.046320324","637.696","637.696","637.696"
"6311.046534831","644.746","644.746","644.746"
"6321.072868173","551.825","551.825","551.825"
"6331.046967046","143.992","143.992","143.992"
"6341.04635764","139.221","139.221","139.221"
"6351.103968917","628.173","628.173","628.173"
"6361.046655133","608.189","608.189","608.189"
"6371.046095615","617.995","617.995","617.995"
"6381.046700591","621.966","621.966","621.966"
"6391.046799674","620.152","620.152","620.152"
"6401.04693018","627.185","627.185","627.185"
"6411.046690122","616.254","616.254","616.254"
"6421.100173863","618.879","618.879","618.879"
"6431.046875774","628.465","628.465","628.465"
